seriesID,year,period,periodName,value
LNU04000000,1948,M01,January,4.0
LNU04000000,1948,M02,February,4.7
LNU04000000,1948,M03,March,4.5
LNU04000000,1948,M04,April,4.0
LNU04000000,1948,M05,May,3.4
LNU04000000,1948,M06,June,3.9
LNU04000000,1948,M07,July,3.9
LNU04000000,1948,M08,August,3.6
LNU04000000,1948,M09,September,3.4
LNU04000000,1948,M10,October,2.9
LNU04000000,1948,M11,November,3.3
LNU04000000,1948,M12,December,3.6
LNU04000000,1949,M01,January,5.0
LNU04000000,1949,M02,February,5.8
LNU04000000,1949,M03,March,5.6
LNU04000000,1949,M04,April,5.4
LNU04000000,1949,M05,May,5.7
LNU04000000,1949,M06,June,6.4
LNU04000000,1949,M07,July,7.0
LNU04000000,1949,M08,August,6.3
LNU04000000,1949,M09,September,5.9
LNU04000000,1949,M10,October,6.1
LNU04000000,1949,M11,November,5.7
LNU04000000,1949,M12,December,6.0
LNU04000000,1950,M01,January,7.6
LNU04000000,1950,M02,February,7.9
LNU04000000,1950,M03,March,7.1
LNU04000000,1950,M04,April,6.0
LNU04000000,1950,M05,May,5.3
LNU04000000,1950,M06,June,5.6
LNU04000000,1950,M07,July,5.3
LNU04000000,1950,M08,August,4.1
LNU04000000,1950,M09,September,4.0
LNU04000000,1950,M10,October,3.3
LNU04000000,1950,M11,November,3.8
LNU04000000,1950,M12,December,3.9
LNU04000000,1951,M01,January,4.4
LNU04000000,1951,M02,February,4.2
LNU04000000,1951,M03,March,3.8
LNU04000000,1951,M04,April,3.2
LNU04000000,1951,M05,May,2.9
LNU04000000,1951,M06,June,3.4
LNU04000000,1951,M07,July,3.3
LNU04000000,1951,M08,August,2.9
LNU04000000,1951,M09,September,3.0
LNU04000000,1951,M10,October,2.8
LNU04000000,1951,M11,November,3.2
LNU04000000,1951,M12,December,2.9
LNU04000000,1952,M01,January,3.7
LNU04000000,1952,M02,February,3.8
LNU04000000,1952,M03,March,3.3
LNU04000000,1952,M04,April,3.0
LNU04000000,1952,M05,May,2.9
LNU04000000,1952,M06,June,3.2
LNU04000000,1952,M07,July,3.3
LNU04000000,1952,M08,August,3.1
LNU04000000,1952,M09,September,2.7
LNU04000000,1952,M10,October,2.4
LNU04000000,1952,M11,November,2.5
LNU04000000,1952,M12,December,2.5
LNU04000000,1953,M01,January,3.4
LNU04000000,1953,M02,February,3.2
LNU04000000,1953,M03,March,2.9
LNU04000000,1953,M04,April,2.8
LNU04000000,1953,M05,May,2.5
LNU04000000,1953,M06,June,2.7
LNU04000000,1953,M07,July,2.7
LNU04000000,1953,M08,August,2.4
LNU04000000,1953,M09,September,2.6
LNU04000000,1953,M10,October,2.5
LNU04000000,1953,M11,November,3.2
LNU04000000,1953,M12,December,4.2
LNU04000000,1954,M01,January,5.7
LNU04000000,1954,M02,February,6.3
LNU04000000,1954,M03,March,6.4
LNU04000000,1954,M04,April,6.1
LNU04000000,1954,M05,May,5.7
LNU04000000,1954,M06,June,5.7
LNU04000000,1954,M07,July,5.7
LNU04000000,1954,M08,August,5.4
LNU04000000,1954,M09,September,5.3
LNU04000000,1954,M10,October,4.6
LNU04000000,1954,M11,November,4.9
LNU04000000,1954,M12,December,4.8
LNU04000000,1955,M01,January,5.8
LNU04000000,1955,M02,February,5.7
LNU04000000,1955,M03,March,5.2
LNU04000000,1955,M04,April,4.9
LNU04000000,1955,M05,May,4.2
LNU04000000,1955,M06,June,4.4
LNU04000000,1955,M07,July,4.0
LNU04000000,1955,M08,August,3.8
LNU04000000,1955,M09,September,3.5
LNU04000000,1955,M10,October,3.4
LNU04000000,1955,M11,November,3.8
LNU04000000,1955,M12,December,3.9
LNU04000000,1956,M01,January,4.7
LNU04000000,1956,M02,February,4.8
LNU04000000,1956,M03,March,4.7
LNU04000000,1956,M04,April,4.1
LNU04000000,1956,M05,May,4.2
LNU04000000,1956,M06,June,4.7
LNU04000000,1956,M07,July,4.4
LNU04000000,1956,M08,August,3.7
LNU04000000,1956,M09,September,3.4
LNU04000000,1956,M10,October,3.1
LNU04000000,1956,M11,November,3.9
LNU04000000,1956,M12,December,4.0
LNU04000000,1957,M01,January,4.9
LNU04000000,1957,M02,February,4.7
LNU04000000,1957,M03,March,4.3
LNU04000000,1957,M04,April,4.0
LNU04000000,1957,M05,May,3.9
LNU04000000,1957,M06,June,4.6
LNU04000000,1957,M07,July,4.1
LNU04000000,1957,M08,August,3.7
LNU04000000,1957,M09,September,3.7
LNU04000000,1957,M10,October,3.6
LNU04000000,1957,M11,November,4.6
LNU04000000,1957,M12,December,5.0
LNU04000000,1958,M01,January,6.8
LNU04000000,1958,M02,February,7.7
LNU04000000,1958,M03,March,7.7
LNU04000000,1958,M04,April,7.5
LNU04000000,1958,M05,May,7.1
LNU04000000,1958,M06,June,7.6
LNU04000000,1958,M07,July,7.4
LNU04000000,1958,M08,August,6.7
LNU04000000,1958,M09,September,6.0
LNU04000000,1958,M10,October,5.5
LNU04000000,1958,M11,November,5.6
LNU04000000,1958,M12,December,6.0
LNU04000000,1959,M01,January,7.0
LNU04000000,1959,M02,February,7.0
LNU04000000,1959,M03,March,6.4
LNU04000000,1959,M04,April,5.2
LNU04000000,1959,M05,May,4.9
LNU04000000,1959,M06,June,5.4
LNU04000000,1959,M07,July,5.2
LNU04000000,1959,M08,August,4.8
LNU04000000,1959,M09,September,4.7
LNU04000000,1959,M10,October,4.7
LNU04000000,1959,M11,November,5.3
LNU04000000,1959,M12,December,5.1
LNU04000000,1960,M01,January,6.1
LNU04000000,1960,M02,February,5.7
LNU04000000,1960,M03,March,6.1
LNU04000000,1960,M04,April,5.2
LNU04000000,1960,M05,May,4.8
LNU04000000,1960,M06,June,5.8
LNU04000000,1960,M07,July,5.5
LNU04000000,1960,M08,August,5.2
LNU04000000,1960,M09,September,4.7
LNU04000000,1960,M10,October,5.0
LNU04000000,1960,M11,November,5.6
LNU04000000,1960,M12,December,6.4
LNU04000000,1961,M01,January,7.7
LNU04000000,1961,M02,February,8.1
LNU04000000,1961,M03,March,7.7
LNU04000000,1961,M04,April,7.0
LNU04000000,1961,M05,May,6.6
LNU04000000,1961,M06,June,7.3
LNU04000000,1961,M07,July,6.9
LNU04000000,1961,M08,August,6.2
LNU04000000,1961,M09,September,5.8
LNU04000000,1961,M10,October,5.5
LNU04000000,1961,M11,November,5.6
LNU04000000,1961,M12,December,5.8
LNU04000000,1962,M01,January,6.7
LNU04000000,1962,M02,February,6.5
LNU04000000,1962,M03,March,6.2
LNU04000000,1962,M04,April,5.5
LNU04000000,1962,M05,May,5.1
LNU04000000,1962,M06,June,5.9
LNU04000000,1962,M07,July,5.3
LNU04000000,1962,M08,August,5.3
LNU04000000,1962,M09,September,4.9
LNU04000000,1962,M10,October,4.5
LNU04000000,1962,M11,November,5.3
LNU04000000,1962,M12,December,5.3
LNU04000000,1963,M01,January,6.6
LNU04000000,1963,M02,February,6.9
LNU04000000,1963,M03,March,6.3
LNU04000000,1963,M04,April,5.6
LNU04000000,1963,M05,May,5.5
LNU04000000,1963,M06,June,6.2
LNU04000000,1963,M07,July,5.6
LNU04000000,1963,M08,August,5.2
LNU04000000,1963,M09,September,4.8
LNU04000000,1963,M10,October,4.7
LNU04000000,1963,M11,November,5.3
LNU04000000,1963,M12,December,5.3
LNU04000000,1964,M01,January,6.4
LNU04000000,1964,M02,February,6.2
LNU04000000,1964,M03,March,5.9
LNU04000000,1964,M04,April,5.3
LNU04000000,1964,M05,May,4.8
LNU04000000,1964,M06,June,5.9
LNU04000000,1964,M07,July,4.9
LNU04000000,1964,M08,August,4.8
LNU04000000,1964,M09,September,4.5
LNU04000000,1964,M10,October,4.4
LNU04000000,1964,M11,November,4.5
LNU04000000,1964,M12,December,4.7
LNU04000000,1965,M01,January,5.5
LNU04000000,1965,M02,February,5.7
LNU04000000,1965,M03,March,5.1
LNU04000000,1965,M04,April,4.7
LNU04000000,1965,M05,May,4.3
LNU04000000,1965,M06,June,5.3
LNU04000000,1965,M07,July,4.5
LNU04000000,1965,M08,August,4.2
LNU04000000,1965,M09,September,3.8
LNU04000000,1965,M10,October,3.6
LNU04000000,1965,M11,November,3.9
LNU04000000,1965,M12,December,3.7
LNU04000000,1966,M01,January,4.4
LNU04000000,1966,M02,February,4.2
LNU04000000,1966,M03,March,4.0
LNU04000000,1966,M04,April,3.6
LNU04000000,1966,M05,May,3.7
LNU04000000,1966,M06,June,4.6
LNU04000000,1966,M07,July,3.9
LNU04000000,1966,M08,August,3.6
LNU04000000,1966,M09,September,3.3
LNU04000000,1966,M10,October,3.2
LNU04000000,1966,M11,November,3.4
LNU04000000,1966,M12,December,3.5
LNU04000000,1967,M01,January,4.2
LNU04000000,1967,M02,February,4.2
LNU04000000,1967,M03,March,3.9
LNU04000000,1967,M04,April,3.5
LNU04000000,1967,M05,May,3.2
LNU04000000,1967,M06,June,4.6
LNU04000000,1967,M07,July,4.1
LNU04000000,1967,M08,August,3.7
LNU04000000,1967,M09,September,3.7
LNU04000000,1967,M10,October,3.8
LNU04000000,1967,M11,November,3.7
LNU04000000,1967,M12,December,3.5
LNU04000000,1968,M01,January,4.0
LNU04000000,1968,M02,February,4.2
LNU04000000,1968,M03,March,3.8
LNU04000000,1968,M04,April,3.2
LNU04000000,1968,M05,May,2.9
LNU04000000,1968,M06,June,4.5
LNU04000000,1968,M07,July,4.0
LNU04000000,1968,M08,August,3.5
LNU04000000,1968,M09,September,3.3
LNU04000000,1968,M10,October,3.2
LNU04000000,1968,M11,November,3.3
LNU04000000,1968,M12,December,3.1
LNU04000000,1969,M01,January,3.7
LNU04000000,1969,M02,February,3.7
LNU04000000,1969,M03,March,3.5
LNU04000000,1969,M04,April,3.2
LNU04000000,1969,M05,May,2.9
LNU04000000,1969,M06,June,4.1
LNU04000000,1969,M07,July,3.8
LNU04000000,1969,M08,August,3.5
LNU04000000,1969,M09,September,3.7
LNU04000000,1969,M10,October,3.5
LNU04000000,1969,M11,November,3.3
LNU04000000,1969,M12,December,3.2
LNU04000000,1970,M01,January,4.2
LNU04000000,1970,M02,February,4.7
LNU04000000,1970,M03,March,4.6
LNU04000000,1970,M04,April,4.3
LNU04000000,1970,M05,May,4.1
LNU04000000,1970,M06,June,5.6
LNU04000000,1970,M07,July,5.3
LNU04000000,1970,M08,August,5.0
LNU04000000,1970,M09,September,5.2
LNU04000000,1970,M10,October,5.1
LNU04000000,1970,M11,November,5.5
LNU04000000,1970,M12,December,5.6
LNU04000000,1971,M01,January,6.6
LNU04000000,1971,M02,February,6.6
LNU04000000,1971,M03,March,6.3
LNU04000000,1971,M04,April,5.7
LNU04000000,1971,M05,May,5.3
LNU04000000,1971,M06,June,6.5
LNU04000000,1971,M07,July,6.2
LNU04000000,1971,M08,August,5.9
LNU04000000,1971,M09,September,5.8
LNU04000000,1971,M10,October,5.4
LNU04000000,1971,M11,November,5.7
LNU04000000,1971,M12,December,5.5
LNU04000000,1972,M01,January,6.5
LNU04000000,1972,M02,February,6.4
LNU04000000,1972,M03,March,6.1
LNU04000000,1972,M04,April,5.5
LNU04000000,1972,M05,May,5.1
LNU04000000,1972,M06,June,6.2
LNU04000000,1972,M07,July,5.9
LNU04000000,1972,M08,August,5.5
LNU04000000,1972,M09,September,5.4
LNU04000000,1972,M10,October,5.1
LNU04000000,1972,M11,November,4.9
LNU04000000,1972,M12,December,4.8
LNU04000000,1973,M01,January,5.5
LNU04000000,1973,M02,February,5.6
LNU04000000,1973,M03,March,5.2
LNU04000000,1973,M04,April,4.8
LNU04000000,1973,M05,May,4.4
LNU04000000,1973,M06,June,5.4
LNU04000000,1973,M07,July,5.0
LNU04000000,1973,M08,August,4.7
LNU04000000,1973,M09,September,4.7
LNU04000000,1973,M10,October,4.2
LNU04000000,1973,M11,November,4.6
LNU04000000,1973,M12,December,4.6
LNU04000000,1974,M01,January,5.7
LNU04000000,1974,M02,February,5.8
LNU04000000,1974,M03,March,5.3
LNU04000000,1974,M04,April,4.8
LNU04000000,1974,M05,May,4.6
LNU04000000,1974,M06,June,5.8
LNU04000000,1974,M07,July,5.7
LNU04000000,1974,M08,August,5.3
LNU04000000,1974,M09,September,5.7
LNU04000000,1974,M10,October,5.5
LNU04000000,1974,M11,November,6.2
LNU04000000,1974,M12,December,6.7
LNU04000000,1975,M01,January,9.0
LNU04000000,1975,M02,February,9.1
LNU04000000,1975,M03,March,9.1
LNU04000000,1975,M04,April,8.6
LNU04000000,1975,M05,May,8.3
LNU04000000,1975,M06,June,9.1
LNU04000000,1975,M07,July,8.7
LNU04000000,1975,M08,August,8.2
LNU04000000,1975,M09,September,8.1
LNU04000000,1975,M10,October,7.8
LNU04000000,1975,M11,November,7.8
LNU04000000,1975,M12,December,7.8
LNU04000000,1976,M01,January,8.8
LNU04000000,1976,M02,February,8.7
LNU04000000,1976,M03,March,8.1
LNU04000000,1976,M04,April,7.4
LNU04000000,1976,M05,May,6.8
LNU04000000,1976,M06,June,8.0
LNU04000000,1976,M07,July,7.8
LNU04000000,1976,M08,August,7.6
LNU04000000,1976,M09,September,7.4
LNU04000000,1976,M10,October,7.2
LNU04000000,1976,M11,November,7.4
LNU04000000,1976,M12,December,7.4
LNU04000000,1977,M01,January,8.3
LNU04000000,1977,M02,February,8.5
LNU04000000,1977,M03,March,7.9
LNU04000000,1977,M04,April,6.9
LNU04000000,1977,M05,May,6.4
LNU04000000,1977,M06,June,7.5
LNU04000000,1977,M07,July,7.0
LNU04000000,1977,M08,August,6.8
LNU04000000,1977,M09,September,6.6
LNU04000000,1977,M10,October,6.4
LNU04000000,1977,M11,November,6.5
LNU04000000,1977,M12,December,6.0
LNU04000000,1978,M01,January,7.1
LNU04000000,1978,M02,February,6.9
LNU04000000,1978,M03,March,6.6
LNU04000000,1978,M04,April,5.8
LNU04000000,1978,M05,May,5.5
LNU04000000,1978,M06,June,6.2
LNU04000000,1978,M07,July,6.3
LNU04000000,1978,M08,August,5.9
LNU04000000,1978,M09,September,5.8
LNU04000000,1978,M10,October,5.4
LNU04000000,1978,M11,November,5.6
LNU04000000,1978,M12,December,5.7
LNU04000000,1979,M01,January,6.4
LNU04000000,1979,M02,February,6.4
LNU04000000,1979,M03,March,6.1
LNU04000000,1979,M04,April,5.5
LNU04000000,1979,M05,May,5.2
LNU04000000,1979,M06,June,6.0
LNU04000000,1979,M07,July,5.9
LNU04000000,1979,M08,August,5.9
LNU04000000,1979,M09,September,5.7
LNU04000000,1979,M10,October,5.6
LNU04000000,1979,M11,November,5.6
LNU04000000,1979,M12,December,5.7
LNU04000000,1980,M01,January,6.9
LNU04000000,1980,M02,February,6.8
LNU04000000,1980,M03,March,6.6
LNU04000000,1980,M04,April,6.7
LNU04000000,1980,M05,May,7.1
LNU04000000,1980,M06,June,7.8
LNU04000000,1980,M07,July,7.9
LNU04000000,1980,M08,August,7.6
LNU04000000,1980,M09,September,7.2
LNU04000000,1980,M10,October,7.1
LNU04000000,1980,M11,November,7.1
LNU04000000,1980,M12,December,6.9
LNU04000000,1981,M01,January,8.2
LNU04000000,1981,M02,February,8.0
LNU04000000,1981,M03,March,7.7
LNU04000000,1981,M04,April,7.0
LNU04000000,1981,M05,May,7.1
LNU04000000,1981,M06,June,7.7
LNU04000000,1981,M07,July,7.3
LNU04000000,1981,M08,August,7.2
LNU04000000,1981,M09,September,7.3
LNU04000000,1981,M10,October,7.5
LNU04000000,1981,M11,November,7.9
LNU04000000,1981,M12,December,8.3
LNU04000000,1982,M01,January,9.4
LNU04000000,1982,M02,February,9.6
LNU04000000,1982,M03,March,9.5
LNU04000000,1982,M04,April,9.2
LNU04000000,1982,M05,May,9.1
LNU04000000,1982,M06,June,9.8
LNU04000000,1982,M07,July,9.8
LNU04000000,1982,M08,August,9.6
LNU04000000,1982,M09,September,9.7
LNU04000000,1982,M10,October,9.9
LNU04000000,1982,M11,November,10.4
LNU04000000,1982,M12,December,10.5
LNU04000000,1983,M01,January,11.4
LNU04000000,1983,M02,February,11.3
LNU04000000,1983,M03,March,10.8
LNU04000000,1983,M04,April,10.0
LNU04000000,1983,M05,May,9.8
LNU04000000,1983,M06,June,10.2
LNU04000000,1983,M07,July,9.4
LNU04000000,1983,M08,August,9.2
LNU04000000,1983,M09,September,8.8
LNU04000000,1983,M10,October,8.4
LNU04000000,1983,M11,November,8.1
LNU04000000,1983,M12,December,8.0
LNU04000000,1984,M01,January,8.8
LNU04000000,1984,M02,February,8.4
LNU04000000,1984,M03,March,8.1
LNU04000000,1984,M04,April,7.6
LNU04000000,1984,M05,May,7.2
LNU04000000,1984,M06,June,7.4
LNU04000000,1984,M07,July,7.5
LNU04000000,1984,M08,August,7.3
LNU04000000,1984,M09,September,7.1
LNU04000000,1984,M10,October,7.0
LNU04000000,1984,M11,November,6.9
LNU04000000,1984,M12,December,7.0
LNU04000000,1985,M01,January,8.0
LNU04000000,1985,M02,February,7.8
LNU04000000,1985,M03,March,7.5
LNU04000000,1985,M04,April,7.1
LNU04000000,1985,M05,May,7.0
LNU04000000,1985,M06,June,7.5
LNU04000000,1985,M07,July,7.4
LNU04000000,1985,M08,August,6.9
